Pin,Board side,JEDEC name,Net on this design,Connect with,Symbol part
172,back,DQ17,DQ17,net label,A
173,back,VSS,GND,power port,D
174,back,DQS2_c,DQS2_C,net label,A
175,back,DQS2_t,DQS2_T,net label,A
176,back,VSS,GND,power port,D
177,back,DQ23,DQ23,net label,A
178,back,VSS,GND,power port,D
179,back,DQ19,DQ19,net label,A
180,back,VSS,GND,power port,D
181,back,DQ29,DQ29,net label,A
182,back,VSS,GND,power port,D
183,back,DQ25,DQ25,net label,A
184,back,VSS,GND,power port,D
185,back,DQS3_c,DQS3_C,net label,A
186,back,DQS3_t,DQS3_T,net label,A
187,back,VSS,GND,power port,D
188,back,DQ31,DQ31,net label,A
189,back,VSS,GND,power port,D
190,back,DQ27,DQ27,net label,A
191,back,VSS,GND,power port,D
192,back,CB5/NC,,No-ERC (not connected),E
193,back,VSS,GND,power port,D
194,back,CB1/NC,,No-ERC (not connected),E
195,back,VSS,GND,power port,D
196,back,DQS8_c,,No-ERC (not connected),E
197,back,DQS8_t,,No-ERC (not connected),E
198,back,VSS,GND,power port,D
199,back,CB7/NC,,No-ERC (not connected),E
200,back,VSS,GND,power port,D
201,back,CB3/NC,,No-ERC (not connected),E
202,back,VSS,GND,power port,D
203,back,CKE1,,No-ERC (not connected),C
204,back,VDD,VDD,power port,E
205,back,RFU,,No-ERC (not connected),E
206,back,VDD,VDD,power port,E
207,back,BG1,BG1,net label,C
208,back,ALERT_n,ALERT_n,net label,C
209,back,VDD,VDD,power port,E
210,back,A11,A11,net label,C
211,back,A7,A7,net label,C
212,back,VDD,VDD,power port,E
213,back,A5,A5,net label,C
214,back,A4,A4,net label,C
215,back,VDD,VDD,power port,E
216,back,A2,A2,net label,C
217,back,VDD,VDD,power port,E
218,back,CK1_t,CK1_T,net label,C
219,back,CK1_c,CK1_C,net label,C
220,back,VDD,VDD,power port,E
221,back,VTT,VTT,power port,E
222,back,PARITY,PAR,net label,C
223,back,VDD,VDD,power port,E
224,back,BA1,BA1,net label,C
225,back,A10/AP,A10_AP,net label,C
226,back,VDD,VDD,power port,E
227,back,RFU,,No-ERC (not connected),E
228,back,WE_n/A14,WE,net label,C
229,back,VDD,VDD,power port,E
230,back,NC,,No-ERC (not connected),E
231,back,VDD,VDD,power port,E
232,back,A13,A13,net label,C
233,back,VDD,VDD,power port,E
234,back,NC,,No-ERC (not connected),E
235,back,NC,,No-ERC (not connected),E
236,back,VDD,VDD,power port,E
237,back,NC,,No-ERC (not connected),E
238,back,SA2,SA2,net label,C
239,back,VSS,GND,power port,D
240,back,DQ37,DQ37,net label,B
241,back,VSS,GND,power port,D
242,back,DQ33,DQ33,net label,B
243,back,VSS,GND,power port,D
244,back,DQS4_c,DQS4_C,net label,B
245,back,DQS4_t,DQS4_T,net label,B
246,back,VSS,GND,power port,D
247,back,DQ39,DQ39,net label,B
248,back,VSS,GND,power port,D
249,back,DQ35,DQ35,net label,B
250,back,VSS,GND,power port,D
251,back,DQ45,DQ45,net label,B
252,back,VSS,GND,power port,D
253,back,DQ41,DQ41,net label,B
254,back,VSS,GND,power port,D
255,back,DQS5_c,DQS5_C,net label,B
256,back,DQS5_t,DQS5_T,net label,B
257,back,VSS,GND,power port,D
258,back,DQ47,DQ47,net label,B
259,back,VSS,GND,power port,D
260,back,DQ43,DQ43,net label,B
261,back,VSS,GND,power port,D
262,back,DQ53,DQ53,net label,B
263,back,VSS,GND,power port,D
264,back,DQ49,DQ49,net label,B
265,back,VSS,GND,power port,D
266,back,DQS6_c,DQS6_C,net label,B
267,back,DQS6_t,DQS6_T,net label,B
268,back,VSS,GND,power port,D
269,back,DQ55,DQ55,net label,B
270,back,VSS,GND,power port,D
271,back,DQ51,DQ51,net label,B
272,back,VSS,GND,power port,D
273,back,DQ61,DQ61,net label,B
274,back,VSS,GND,power port,D
275,back,DQ57,DQ57,net label,B
276,back,VSS,GND,power port,D
277,back,DQS7_c,DQS7_C,net label,B
278,back,DQS7_t,DQS7_T,net label,B
279,back,VSS,GND,power port,D
280,back,DQ63,DQ63,net label,B
281,back,VSS,GND,power port,D
282,back,DQ59,DQ59,net label,B
283,back,VSS,GND,power port,D
284,back,VDDSPD,VDDSPD,power port,E
285,back,SDA,SDA,net label,C
286,back,VPP,VPP,power port,E
287,back,VPP,VPP,power port,E
288,back,VPP,VPP,power port,E
